kota;kode;lat;lon
Aceh;BNA;5.54829;95.323753
Medan;MDN;3.597031;98.678513
Meulaboh;MBO;4.143765;96.127472
Sibolga;SBG;1.749987;98.776703
Padang;PAD;-0.942942;100.371857
Pekanbaru;PBR;0.533505;101.447403
Batam;BTM;1.045626;104.030457
Palembang;PLG;-2.990934;104.756554
Lampung;LMP;-5.45;105.26667
Pangkal Pinang;PGP;-2.133333;106.116669
Bangka Belitung;BTU;-2.741051;106.440587
Jakarta;JKT;-6.2;106.816666
Bandung;BDG;-6.914864;107.608238
Cirebon;CBN;-6.737246;108.550659
Semarang;SMG;-6.966667;110.416664
Yogyakarta;YYK;-7.797068;110.370529
Surabaya;SBY;-7.250445;112.768845
Malang;MLG;-7.983908;112.621391
Denpasar;DPR;-8.65;115.216667
Pontianak;PTK;0;109.333336
Banjarmasin;BJM;-3.316694;114.590111
Balikpapan;BPP;-1.26916;116.825264
Palu;PAL;-0.8917;119.8707
Makassar;MKS;-5.135399;119.42379
Manado;MND;1.47483;124.842079
Ambon;AMB;-3.654703;128.190643
